"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000065621",77.8825157628932,-1.67615834359091,0.487776363908661,4.29115684247683e-05,0.0016242917349896,"ENSG00000065621","GSTO2"
"ENSG00000082482",35.374599664917,-2.25604392745541,0.673632187335941,4.37965996152936e-05,0.00165127808097662,"ENSG00000082482","KCNK2"
"ENSG00000145390",263.106455482737,-1.79048302128896,0.527044022126411,4.37111342197445e-05,0.00165127808097662,"ENSG00000145390","USP53"
"ENSG00000233351",20.3650381321297,-2.5129546736185,0.748452736851966,4.48939862347706e-05,0.00168933429378722,"ENSG00000233351",NA
"ENSG00000124942",14757.0242747961,-1.62034077919006,0.479022402779918,4.59418750372429e-05,0.00172201274187447,"ENSG00000124942","AHNAK"
"ENSG00000160185",41.6813003558716,2.5072641958321,0.755980441713244,4.58672343706778e-05,0.00172201274187447,"ENSG00000160185","UBASH3A"
"ENSG00000234456",116.583154639483,-1.61117510890231,0.471148670417187,4.6584527607402e-05,0.00174269721113772,"ENSG00000234456","MAGI2-AS3"
"ENSG00000198865",438.90724902247,-1.57417303741566,0.46014016540552,4.71898102565092e-05,0.00176190593119196,"ENSG00000198865","CCDC152"
"ENSG00000100321",172.380510682224,-1.54879450059206,0.451888621901401,4.76967701496035e-05,0.00177737614745833,"ENSG00000100321","SYNGR1"
"ENSG00000123329",156.959975938348,1.67503865396084,0.492643860276527,4.83864880737184e-05,0.00179958351283475,"ENSG00000123329","ARHGAP9"
"ENSG00000009790",138.106217681356,2.10621686722886,0.633602776058789,4.91014165542809e-05,0.00182264078354585,"ENSG00000009790","TRAF3IP3"
"ENSG00000138131",106.969199265521,-2.15389341479538,0.653381315671478,5.02411668515453e-05,0.00186134794024712,"ENSG00000138131","LOXL4"
"ENSG00000128604",109.252762649827,1.3031715865562,0.373542397133669,5.1055227611411e-05,0.00188786295393177,"ENSG00000128604","IRF5"
"ENSG00000144668",210.648437950912,-1.36343390894869,0.394159880897103,5.16445967848546e-05,0.00190598357095797,"ENSG00000144668","ITGA9"
"ENSG00000136603",234.835822746557,1.11885319214013,0.315233965528313,5.24141271218552e-05,0.00193067085143095,"ENSG00000136603","SKIL"
"ENSG00000162892",21.9857219386618,3.55974591998721,1.09924783409421,5.27629534840048e-05,0.00193608764877923,"ENSG00000162892","IL24"
"ENSG00000103852",110.009663210239,-1.3973805637795,0.405712180794012,5.27619240347287e-05,0.00193608764877923,"ENSG00000103852","TTC23"
